key				move	light	tracks	hide	gather
GRASSLAND		1		100		100		75		25
FARMLAND		1		100		100		75		50
SCRUBLAND		1		100		75		50		75
PLAINS			1		100		75		50		25
HILL			3		100		75		75		50
MOUNTAIN		5		100		50		75		25
FOREST			3		75		75		100		100
WOODLAND		2		80		100		80		100
JUNGLE			5		75		25		100		75
MARSH			3		100		75		75		25
DESERT			1		100		100		25		0
ICE				2		100		25		75		0
URBAN			1		100		0		100		0
INDOORS			1		100		0		100		0
DARK			1		0		0		100		0
UNDERGROUND		1		0		25		100		0
WATER			0		100		0		0		0
